store,websites,attribute_set,type,has_options,sku,cost
admin,base,Default,simple,0,031146263622,0.87
admin,base,Default,simple,0,072728020059,1.39
admin,base,Default,simple,0,617723253080,8.99
admin,base,Default,simple,0,874507007622,5.99
admin,base,Default,simple,0,874507007639,1.29
admin,base,Default,simple,0,200802,0.59
admin,base,Default,simple,0,200803,0.59
admin,base,Default,simple,0,10000049,0.59
admin,base,Default,simple,0,10000043,0.75
admin,base,Default,simple,0,039612101744,4.99
admin,base,Default,simple,0,10039612112597,0.89
admin,base,Default,simple,0,6900201211455,11.99
admin,base,Default,simple,0,617723256562,13.99
admin,base,Default,simple,0,655708010914,1.49
admin,base,Default,simple,0,617723252496,13.99
admin,base,Default,simple,0,655708010921,0.69
admin,base,Default,simple,0,10000048,12.79
admin,base,Default,simple,0,8433383806693,0.95
admin,base,Default,simple,0,078300070351,1.99
admin,base,Default,simple,0,617723253110,14.4
admin,base,Default,simple,0,655708010440,7.99
admin,base,Default,simple,0,655708010907,0.5
admin,base,Default,simple,0,6942543801024,0.73
admin,base,Default,simple,0,655708013816,0.79
admin,base,Default,simple,0,655708013823,0.79
admin,base,Default,simple,0,655708013809,0.79
admin,base,Default,simple,0,7898897612023,0.55
admin,base,Default,simple,0,024200092504,3.49
admin,base,Default,simple,0,024200002893,3.49
admin,base,Default,simple,0,024200089788,3.49
admin,base,Default,simple,0,024200092061,3.49
admin,base,Default,simple,0,655708011850,2.75
admin,base,Default,simple,0,655708013205,0.99
admin,base,Default,simple,0,074804004007,6.99
admin,base,Default,simple,0,759959706203,1.79
admin,base,Default,simple,0,050700568317,3.25
admin,base,Default,simple,0,666031101217,8.99
admin,base,Default,simple,0,6986778888870,0.58
admin,base,Default,simple,0,10820524000273,21.99
admin,base,Default,simple,0,6013359458204,0.5
admin,base,Default,simple,0,018505128303,14.4
admin,base,Default,simple,0,079000501121,14.99
admin,base,Default,simple,0,610466010125,1.47
admin,base,Default,simple,0,848228085887,1.79
admin,base,Default,simple,0,088168310155,1.79
admin,base,Default,simple,0,8991111101415,1.99
admin,base,Default,simple,0,381371030057,1.99
admin,base,Default,simple,0,381371030040,1.75
admin,base,Default,simple,0,10000304,1.79
admin,base,Default,simple,0,10000328,1.79
admin,base,Default,simple,0,10000311,2.99
admin,base,Default,simple,0,10000298,2.99
admin,base,Default,simple,0,10000335,2.99
admin,base,Default,simple,0,10000359,1.79
admin,base,Default,simple,0,10000342,2.99
admin,base,Default,simple,0,617723252595,0.73
admin,base,Default,simple,0,8183020118398,0.49
admin,base,Default,simple,0,617723252649,0.49
admin,base,Default,simple,0,617723252564,4.99
admin,base,Default,simple,0,6.92238E+12,8.99
admin,base,Default,simple,0,617723252922,4.99
admin,base,Default,simple,0,6922376880311,6.99
admin,base,Default,simple,0,10000044,3.5
admin,base,Default,simple,0,6922376850260,2.75
admin,base,Default,simple,0,10000047,9.99
admin,base,Default,simple,0,10000061,12
admin,base,Default,simple,0,6986837898185,0.4
admin,base,Default,simple,0,799475853920,7.99
admin,base,Default,simple,0,8433383806686,0.55
admin,base,Default,simple,0,10630187578374,10.99
admin,base,Default,simple,0,617723253097,5.99
admin,base,Default,simple,0,6905422547017,3.49
admin,base,Default,simple,0,658331786478,3.49
admin,base,Default,simple,0,610466016455,3.49
admin,base,Default,simple,0,658331786515,3.49
admin,base,Default,simple,0,837654226148,3.49
admin,base,Default,simple,0,6952938332569,1.49
admin,base,Default,simple,0,893833091006,4.99
admin,base,Default,simple,0,617723253004,8.99
admin,base,Default,simple,0,047701002278,1.89
admin,base,Default,simple,0,895878000210,0.75
admin,base,Default,simple,0,811435002145,18.99
admin,base,Default,simple,0,635279361387,1.29
admin,base,Default,simple,0,099905108140,3
admin,base,Default,simple,0,099905111164,3
admin,base,Default,simple,0,099905210188,3
admin,base,Default,simple,0,6991000000753,1.49
admin,base,Default,simple,0,10000042,0.69
admin,base,Default,simple,0,617723253271,5.99
admin,base,Default,simple,0,655708011607,2.75
admin,base,Default,simple,0,655708011614,2.75
admin,base,Default,simple,0,6.55708E+11,2.75
admin,base,Default,simple,0,655708011621,2.75
admin,base,Default,simple,0,4015400325987,1.05
admin,base,Default,simple,0,6930238542178,0.59
admin,base,Default,simple,0,6937711911100,0.89
admin,base,Default,simple,0,655708011645,3.49
admin,base,Default,simple,0,895301001029,5.49
admin,base,Default,simple,0,854040005293,5.49
admin,base,Default,simple,0,895301001142,5.49
admin,base,Default,simple,0,854040005262,5.99
admin,base,Default,simple,0,895301001333,5.99
admin,base,Default,simple,0,895301001012,5.49
admin,base,Default,simple,0,719410800123,16.49
admin,base,Default,simple,0,719410300128,16.49
admin,base,Default,simple,0,719410200121,16.49
admin,base,Default,simple,0,719410720124,18.75
admin,base,Default,simple,0,719410700126,18.75
admin,base,Default,simple,0,719410740122,18.75
admin,base,Default,simple,0,719410400125,16.49
admin,base,Default,simple,0,719410500122,16.49
admin,base,Default,simple,0,10000168,9.99
admin,base,Default,simple,0,10000120,9.99
admin,base,Default,simple,0,10000151,9.99
admin,base,Default,simple,0,10000144,9.99
admin,base,Default,simple,0,10000137,9.99
admin,base,Default,simple,0,10000250,180
admin,base,Default,simple,0,784762072030,11.99
admin,base,Default,simple,0,784762072108,11.99
admin,base,Default,simple,0,784762072061,11.99
